Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2014,Maruti,Celerio ,48.93k,Petrol,Auto,KA-04,₹2.95 lakh
2012,Hyundai,i20 ,1.5l,Diesel,Manual,KA-09,₹2.56 lakh
2013,Maruti,Swift ,69.84k,Diesel,Manual,KA-05,₹3.28 lakh
2019,Renault,Kwid ,14.76k,Petrol,Auto,KA-02,₹3.40 lakh
2019,Hyundai, SANTRO,65.27k,Petrol,Manual,KA-05,₹3.05 lakh
2023,Tata,ALTROZ ,30.75k,Petrol,Auto,KA-09,₹7.30 lakh
2018,Hyundai,Elite i20,1.2l,Petrol,Manual,KA-41,₹4.68 lakh
2016,Honda,Jazz ,72.25k,Petrol,Auto,KA-01,₹3.80 lakh
2016,Maruti,Celerio ,65.91k,Petrol,Auto,KA-01,₹3.28 lakh
2017,Maruti,Wagon R,87.55k,Petrol,Manual,KA-50,₹3.17 lakh
2013,Hyundai,i10 ,46.74k,Petrol,Manual,KA-53,₹2.20 lakh
2016,Maruti,Celerio ,50.00k,Petrol,Auto,KA-03,₹3.38 lakh
2012,Maruti,Wagon R,32.11k,Petrol,Manual,KA-03,₹2.45 lakh
2018,Honda,Jazz ,48.61k,Petrol,Auto,KA-03,₹4.95 lakh
2018,Honda,Jazz ,81.45k,Petrol,Auto,KA-04,₹5.20 lakh
2018,Maruti,Baleno ,56.17k,Petrol,Auto,KA-05,₹5.37 lakh
2021,Renault,Kwid ,51.03k,Petrol,Auto,KA-51,₹3.82 lakh
2021,Datsun,Redi Go,21.29k,Petrol,Manual,KA-03,₹3.57 lakh
2015,Hyundai,Grand i10,37.12k,Petrol,Manual,KA-51,₹3.92 lakh
2016,Hyundai,Elite i20,79.88k,Petrol,Manual,KA-05,₹5.06 lakh
2016,Hyundai,Grand i10,40.13k,Petrol,Manual,KA-03,₹4.03 lakh
2014,Maruti,Wagon R,60.11k,Petrol,Manual,KA-36,₹2.56 lakh
2017,Maruti,Baleno ,26.92k,Petrol,Auto,KA-03,₹5.45 lakh
2018,Renault,Kwid ,57.07k,Petrol,Auto,KA-53,₹2.95 lakh
2016,Hyundai,Grand i10,95.61k,Petrol,Manual,KA-51,₹3.32 lakh
2015,Hyundai,i10 ,82.35k,Petrol,Manual,KA-05,₹2.16 lakh
2017,Renault,Kwid ,49.97k,Petrol,Manual,KA-04,₹2.57 lakh
2014,Hyundai,i20 ,72.87k,Diesel,Manual,KA-04,₹3.61 lakh
2016,Hyundai,Grand i10,58.00k,Petrol,Auto,KA-51,₹3.43 lakh
2017,Maruti,Alto 800,33.39k,Petrol,Manual,KA-21,₹2.56 lakh
2022,Maruti,S PRESSO,26.92k,Petrol,Auto,KA-03,₹4.25 lakh
2012,Honda,Brio ,31.08k,Petrol,Manual,KA-53,₹2.60 lakh
2017,Nissan,Micra ,38.07k,Petrol,Auto,KA-01,₹3.81 lakh
2018,Honda,Jazz ,51.49k,Petrol,Manual,KA-01,₹4.90 lakh
2013,Toyota,Etios Liva,62.44k,Petrol,Manual,KA-32,₹2.89 lakh
2014,Maruti,Wagon R,18.61k,Petrol,Manual,KA-05,₹3.01 lakh
2018,Maruti,Wagon R,19.21k,Petrol,Auto,KA-03,₹3.79 lakh
2017,Hyundai,Elite i20,93.20k,Petrol,Manual,KA-51,₹4.03 lakh
2017,Maruti,IGNIS ,74.56k,Petrol,Manual,KA-03,₹3.92 lakh
2018,Hyundai,Elite i20,85.43k,Petrol,Manual,KA-33,₹5.11 lakh
2018,Maruti,Wagon R,94.05k,Petrol,Manual,KA-05,₹3.40 lakh
2018,Maruti,Celerio ,94.69k,Petrol,Auto,KA-03,₹3.67 lakh
2014,Maruti,Celerio ,98.85k,Petrol,Auto,KA-50,₹2.95 lakh
